1	1	2022-06-07 09:35:49.389261	2022-06-07 09:35:49.389261
2	2	2022-06-07 09:35:49.397107	2022-06-07 09:35:49.397107
3	3	2022-06-07 09:35:49.400555	2022-06-07 09:35:49.400555
4	4	2022-06-07 09:35:49.405623	2022-06-07 09:35:49.405623
5	5	2022-06-07 12:28:50.76292	2022-06-07 12:28:50.76292
6	6	2022-06-07 16:40:06.827782	2022-06-07 16:40:06.827782
7	7	2022-06-07 16:51:23.324429	2022-06-07 16:51:23.324429
8	8	2022-06-07 17:22:32.324938	2022-06-07 17:22:32.324938
9	9	2022-06-07 18:12:51.127624	2022-06-07 18:12:51.127624
\.


